en,ur,en_len,ur_len
the book of the generation of jesus christ the son of david the son of abraham,یسوع مسیح ابن داود ابن ابرہام کا نسب نامہ,16,9
abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,ابراہام سے اضحاق پیدا ہوا اور اضحاق سے یعقوب پیدا ہوا اور یعقوب سے یہوداہ اور اس کے بھائی پیدا ہوئے ۔,14,22
and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,اور یہوداہ سے فارص اور زارح تمر سے پیدا ہوئے اور فارص سے حصرون پیدا ہوا اور حصرون سے رام پیدا ہوا ۔,16,23
and aram begat aminadab and aminadab begat naasson and naasson begat salmon,اور رام سے عمینداب پیدا ہوا اور عمینداب سے نحسون پیدا ہوا اور نحسون سے سلمون پیدا ہوا ۔,12,19
and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,اور سلمون سے بوعز راحب سے پیدا ہوا اور بوعز سے عوبید روت سے پیدا ہوا اور عوبید سے یسی پیدا ہوا ۔,16,23
and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,اور یسی سے داود بادشاہ پیدا ہوا ۔ اور داود سے سلیمان اس عورت سے پیدا ہوا جو پہلے اوریاہ کی بیوی تھی ۔,21,24
and solomon begat roboam and roboam begat abia and abia begat asa,اور سلیمان سے رحبعام پیدا ہوا اور رحبعام سے ابیاہ پیدا ہوا اور ابیاہ سے آسا پیدا ہوا ۔,12,19
and asa begat josaphat and josaphat begat joram and joram begat ozias,اور آسا سے یہوسفط پیدا ہوا اور یہوسفط سے یورام پیدا ہوا اور یورام سے عزیاہ پیدا ہوا ۔,12,19
and ozias begat joatham and joatham begat achaz and achaz begat ezekias,اور عزیاہ سے یوتام پیدا ہوا اور یوتام سے آخز پیدا ہوا اور آخز سےحزقیاہ پیدا ہوا ۔,12,18
and ezekias begat manasses and manasses begat amon and amon begat josias,اور حزقیا سے منسی پیدا ہوا اور منسی سے امون پیدا ہوا اور امون سے یوسیاہ پیدا ہوا ۔,12,19
and josias begat jechonias and his brethren about the time they were carried away to babylon,اور گرفتار ہوکر بابل جانے کے زمانے میں یوسیاہ سے یکونیاہ اور اس کے بھائی پیدا ہوئے ۔,16,18
and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,اور گرفتار ہوکر بابل جانے کے بعد یکونیاہ سے سیالتی ایل پیدا ہوا اور سیالتی ایل سے زربابل پیدا ہوا ۔,14,21
and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,اور زربابل سے ابیہود پیدا ہوا اور ابیہود سے الیاقیم پیدا ہوا اور الیاقیم سے عازور پیدا ہوا ۔,12,19
and azor begat sadoc and sadoc begat achim and achim begat eliud,اور عازور سے صدوق پیدا ہوا اور صدوق سے اخیم پیدا ہوا اور اخیم سے الیہود پیدا ہوا ۔,12,19
and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,اور الیہود سے الیعزر پیدا ہوا اور الیعزر سے متان پیدا ہوا اور متان سے یعقوب پیدا ہوا ۔,12,19
and jacob begat joseph the husband of mary of whom was born jesus who is called christ,اور یعقوب سے یوسف پیدا ہوا ۔ یہ اس مریم کا شوہر تھا جس سے یسوع پیدا ہوا جو مسیح کہلاتا ہے ۔,17,23
so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,پس سب پشتیں ابرہام سے داود تک چودہ پشتیں ہوئیں اور داود سے لے کر گرفتار ہوکر بابل جانے تک چودہ پشتیں اور گرفتار ہوکر بابل جانے سے لے کر مسیح تک چودہ پشتیں ہوئیں ۔,35,36
now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,اب یسوع مسیح کی پیدایش اس طرح ہوئی کہ جب اس کی ماں مریم کی منگنی یوسف کے ساتھ ہو گئی تو ان کے اکٹھے ہونے سے پہلے وہ روح القدس کی قدرت سے حاملہ پائی گئی ۔,32,38
then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,پس اس کے شوہر یوسف نے جو راستباز تھا اور اسے بدنام کرنا نہیں چاہتا تھا اسے چپکے سے چھوڑ دینے کا ارادہ کیا ۔,24,25
and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins,اس کے بیٹا ہوگا اور تو اس کا نام یسوع رکھنا کیونکہ وہی اپنے لوگوں کو ان کے گناہوں سے نجات دے گا ۔,23,24
now all this was done that it might be fulfilled which was spoken of the lord by the prophet saying,یہ سب کچھ اس لئے ہوا کہ جو خداوند نے نبی کی معرفت کہا تھا وہ پورا ہو کہ,20,19
behold a virgin shall be with child and shall bring forth a son and they shall call his name emmanuel which being interpreted is god with us,دیکھو ایک کنواری حاملہ ہوگی اور بیٹا جنیگی اور اس کا نام اعمانوایل رکھیں گے جس کا ترجمہ ہے خدا ہمارے ساتھ ۔,27,23
then joseph being raised from sleep did as the angel of the lord had bidden him and took unto him his wife,پس یوسف نے نیند سے جاگ کر ویسا ہی کیا جیسا خداوند کے فرشتہ نے اسے حکم دیا تھا اور اپنی بیوی کو اپنے ہاں لے آیا ۔,22,28
and knew her not till she had brought forth her firstborn son and he called his name jesus,اور اس کو نہ جانا جب تک اس کے بیٹا نہ ہوا اور اس کا نام یسوع رکھا ۔,18,19
now when jesus was born in bethlehem of judaea in the days of herod the king behold there came wise men from the east to jerusalem,جب یسوع ہیرودیس بادشاہ کے زمانہ میں یہودیہ کے بیت لحم میں پیدا ہوا تو دیکھو کئی مجوسی پورب سے یروشلیم میں یہ کہتے ہوئے آئے کہ,26,27
saying where is he that is born king of the jews for we have seen his star in the east and are come to worship him,یہودیوں کا بادشاہ جو پیدا ہوا ہے وہ کہاں ہے کیونکہ پورب میں اس کا ستارہ دیکھ کر ہم اسے سجدہ کرنے آئے ہیں ۔,26,25
when herod the king had heard these things he was troubled and all jerusalem with him,یہ سنکر ہیرودیس بادشاہ اور اس کے ساتھ یروشلیم کے سب لوگ گھبرا گئے ۔,16,15
and when he had gathered all the chief priests and scribes of the people together he demanded of them where christ should be born,اور اس نے قوم کے سب سردار کاہنوں اور فقیہوں کو جمع کرکے ان سے پوچھا کہ مسیح کی پیدایش کہاں ہونی چاہئے,24,23
and they said unto him in bethlehem of judaea for thus it is written by the prophet,انہوں نے اس سے کہا یہودیہ کے بیت لحم میں کیونکہ نبی کی معرفت یوں لکھا گیا ہے کہ,17,19
and thou bethlehem in the land of juda art not the least among the princes of juda for out of thee shall come a governor that shall rule my people israel,اے بیت لحم یہوداہ کے علاقے تو یہوداہ کے حاکموں میں ہرگز سب سے چھوٹا نہیں ۔ کیونکہ تجھ میں سے ایک سردار نکلے گا جو میری امت اسرائیل کی گلہ بانی کرے گا ۔,31,35
then herod when he had privily called the wise men enquired of them diligently what time the star appeared,اس پر ہیرودیس نے مجوسیوں کو چپکے سے بلا کر ان سے تحقیق کی کہ وہ ستارہ کس وقت دکھائی دیا تھا ۔,19,23
